:START_ID,relationship,:END_ID,:TYPE
300533,合作银行,246022,合作银行
264575,合作银行,246017,合作银行
264579,合作银行,246082,合作银行
264577,合作银行,246083,合作银行
264578,合作银行,246084,合作银行
264579,合作银行,246085,合作银行
264580,合作银行,246086,合作银行
264581,合作银行,246017,合作银行
264582,合作银行,246114,合作银行
264583,合作银行,246028,合作银行
264584,合作银行,246168,合作银行
264585,合作银行,246017,合作银行
264586,合作银行,246017,合作银行
264587,合作银行,246017,合作银行
264588,合作银行,246017,合作银行
264589,合作银行,246017,合作银行
264590,合作银行,246017,合作银行
264591,合作银行,246016,合作银行
264592,合作银行,246227,合作银行
264593,合作银行,246200,合作银行
264594,合作银行,246228,合作银行
264595,合作银行,246025,合作银行
264596,合作银行,246027,合作银行
264597,合作银行,246229,合作银行
264598,合作银行,246230,合作银行
264599,合作银行,246029,合作银行
264601,合作银行,246028,合作银行
264601,合作银行,246091,合作银行
264603,合作银行,246058,合作银行
264603,合作银行,246031,合作银行
264604,合作银行,246019,合作银行
264605,合作银行,246162,合作银行
264606,合作银行,246040,合作银行
264607,合作银行,246041,合作银行
264608,合作银行,252296,合作银行
264610,合作银行,264192,合作银行
264610,合作银行,246039,合作银行
264611,合作银行,246169,合作银行
264612,合作银行,246231,合作银行
264613,合作银行,246017,合作银行
264614,合作银行,246235,合作银行
264615,合作银行,246236,合作银行
264616,合作银行,246237,合作银行
264639,合作银行,246238,合作银行
264620,合作银行,246239,合作银行
264619,合作银行,246240,合作银行
264620,合作银行,246028,合作银行
264621,合作银行,246241,合作银行
264623,合作银行,246242,合作银行
264623,合作银行,246243,合作银行
264624,合作银行,246244,合作银行
264639,合作银行,246245,合作银行
264626,合作银行,246246,合作银行
264639,合作银行,246247,合作银行
264628,合作银行,246023,合作银行
264629,合作银行,246024,合作银行
264630,合作银行,246025,合作银行
264631,合作银行,248780,合作银行
264632,合作银行,252296,合作银行
264633,合作银行,246248,合作银行
264634,合作银行,246249,合作银行
264635,合作银行,246037,合作银行
264642,合作银行,246031,合作银行
264641,合作银行,246027,合作银行
264642,合作银行,246091,合作银行
264639,合作银行,246019,合作银行
264640,合作银行,246039,合作银行
264641,合作银行,246046,合作银行
264642,合作银行,246040,合作银行
264643,合作银行,246250,合作银行
264644,合作银行,246017,合作银行
301963,合作银行,246041,合作银行
264646,合作银行,246017,合作银行
264647,合作银行,246023,合作银行
264648,合作银行,246024,合作银行
264649,合作银行,246025,合作银行
264650,合作银行,248780,合作银行
264656,合作银行,246027,合作银行
264652,合作银行,246040,合作银行
264653,合作银行,246165,合作银行
264654,合作银行,246029,合作银行
264655,合作银行,246057,合作银行
264656,合作银行,246007,合作银行
264657,合作银行,246267,合作银行
264658,合作银行,246051,合作银行
264663,合作银行,246052,合作银行
264660,合作银行,246050,合作银行
264661,合作银行,252296,合作银行
264662,合作银行,246091,合作银行
264663,合作银行,246028,合作银行
264664,合作银行,246017,合作银行
264665,合作银行,246017,合作银行
264666,合作银行,246017,合作银行
264673,合作银行,246023,合作银行
264668,合作银行,246040,合作银行
264669,合作银行,246015,合作银行
264670,合作银行,246016,合作银行
264671,合作银行,246335,合作银行
264672,合作银行,246027,合作银行
264673,合作银行,246212,合作银行
264674,合作银行,246019,合作银行
264675,合作银行,246093,合作银行
264676,合作银行,246039,合作银行
264677,合作银行,246028,合作银行
264678,合作银行,246091,合作银行
264679,合作银行,252296,合作银行
264683,合作银行,264192,合作银行
264681,合作银行,246007,合作银行
264682,合作银行,246031,合作银行
264683,合作银行,246319,合作银行
264684,合作银行,246024,合作银行
