:START_ID,relationship,:END_ID,:TYPE
81332,发行债券,301964,发行债券
73442,发行债券,301965,发行债券
73442,发行债券,301966,发行债券
126869,发行债券,301967,发行债券
195544,发行债券,301968,发行债券
26589,发行债券,301969,发行债券
64232,发行债券,301970,发行债券
23714,发行债券,301971,发行债券
183705,发行债券,301972,发行债券
104442,发行债券,301973,发行债券
186633,发行债券,301974,发行债券
184277,发行债券,301975,发行债券
212551,发行债券,301976,发行债券
86175,发行债券,301977,发行债券
25296,发行债券,301978,发行债券
146026,发行债券,301979,发行债券
196382,发行债券,301980,发行债券
24681,发行债券,301981,发行债券
197863,发行债券,301982,发行债券
108037,发行债券,301983,发行债券
184248,发行债券,301984,发行债券
71462,发行债券,301985,发行债券
38058,发行债券,301986,发行债券
7119,发行债券,301987,发行债券
7119,发行债券,301988,发行债券
7119,发行债券,301989,发行债券
7119,发行债券,301990,发行债券
150950,发行债券,301991,发行债券
100111,发行债券,301992,发行债券
127135,发行债券,301993,发行债券
27651,发行债券,301994,发行债券
27651,发行债券,301995,发行债券
7119,发行债券,301996,发行债券
244030,发行债券,301997,发行债券
43512,发行债券,301998,发行债券
183182,发行债券,301999,发行债券
24003,发行债券,302000,发行债券
94973,发行债券,302001,发行债券
79590,发行债券,302002,发行债券
208379,发行债券,302003,发行债券
223149,发行债券,302004,发行债券
24681,发行债券,302005,发行债券
64797,发行债券,302006,发行债券
225301,发行债券,302007,发行债券
106451,发行债券,302008,发行债券
162679,发行债券,302009,发行债券
183622,发行债券,302010,发行债券
33841,发行债券,302011,发行债券
184017,发行债券,302012,发行债券
26482,发行债券,302013,发行债券
106431,发行债券,302014,发行债券
160972,发行债券,302015,发行债券
174212,发行债券,302016,发行债券
25296,发行债券,302017,发行债券
181192,发行债券,302018,发行债券
84598,发行债券,302019,发行债券
2873,发行债券,302020,发行债券
35767,发行债券,302021,发行债券
23714,发行债券,302022,发行债券
181086,发行债券,302023,发行债券
162469,发行债券,302024,发行债券
151927,发行债券,302025,发行债券
7119,发行债券,302026,发行债券
20559,发行债券,302027,发行债券
20559,发行债券,302028,发行债券
37472,发行债券,302029,发行债券
37472,发行债券,302030,发行债券
25296,发行债券,302031,发行债券
80341,发行债券,302032,发行债券
27651,发行债券,302033,发行债券
25296,发行债券,302034,发行债券
219817,发行债券,302035,发行债券
113059,发行债券,302036,发行债券
148073,发行债券,302037,发行债券
119370,发行债券,302038,发行债券
223290,发行债券,302039,发行债券
184052,发行债券,302040,发行债券
62590,发行债券,302041,发行债券
52331,发行债券,302042,发行债券
79443,发行债券,302043,发行债券
143416,发行债券,302044,发行债券
73442,发行债券,302045,发行债券
27651,发行债券,302046,发行债券
160296,发行债券,302047,发行债券
216114,发行债券,302048,发行债券
216114,发行债券,302049,发行债券
74890,发行债券,302050,发行债券
189660,发行债券,302051,发行债券
244754,发行债券,302052,发行债券
244896,发行债券,302053,发行债券
98530,发行债券,302054,发行债券
197281,发行债券,302055,发行债券
244031,发行债券,302056,发行债券
244032,发行债券,302057,发行债券
244032,发行债券,302058,发行债券
244033,发行债券,302059,发行债券
244745,发行债券,302060,发行债券
240349,发行债券,302061,发行债券
244033,发行债券,302062,发行债券
244035,发行债券,302063,发行债券
244035,发行债券,302064,发行债券
26806,发行债券,302065,发行债券
9071,发行债券,302066,发行债券
44131,发行债券,302067,发行债券
244036,发行债券,302068,发行债券
244745,发行债券,302069,发行债券
244037,发行债券,302070,发行债券
241412,发行债券,302071,发行债券
142513,发行债券,302072,发行债券
27690,发行债券,302073,发行债券
81329,发行债券,302074,发行债券
244038,发行债券,302075,发行债券
234280,发行债券,302076,发行债券
234280,发行债券,302077,发行债券
120168,发行债券,302078,发行债券
244039,发行债券,302079,发行债券
118818,发行债券,302080,发行债券
138162,发行债券,302081,发行债券
244040,发行债券,302082,发行债券
157300,发行债券,302083,发行债券
202634,发行债券,302084,发行债券
202634,发行债券,302085,发行债券
46038,发行债券,302086,发行债券
244041,发行债券,302087,发行债券
106404,发行债券,302088,发行债券
197388,发行债券,302089,发行债券
68512,发行债券,302090,发行债券
244042,发行债券,302091,发行债券
186290,发行债券,302092,发行债券
162379,发行债券,302093,发行债券
129554,发行债券,302094,发行债券
197579,发行债券,302095,发行债券
24709,发行债券,302096,发行债券
111104,发行债券,302097,发行债券
244033,发行债券,302098,发行债券
214512,发行债券,302099,发行债券
245046,发行债券,302100,发行债券
117896,发行债券,302101,发行债券
41310,发行债券,302102,发行债券
26839,发行债券,302103,发行债券
244043,发行债券,302104,发行债券
150002,发行债券,302105,发行债券
63183,发行债券,302106,发行债券
243647,发行债券,302107,发行债券
24724,发行债券,302108,发行债券
141611,发行债券,302109,发行债券
244868,发行债券,302110,发行债券
148074,发行债券,302111,发行债券
66214,发行债券,302112,发行债券
238157,发行债券,302113,发行债券
244733,发行债券,302114,发行债券
42746,发行债券,331399,发行债券
42746,发行债券,302116,发行债券
42746,发行债券,302117,发行债券
244044,发行债券,302118,发行债券
64103,发行债券,302119,发行债券
166750,发行债券,302120,发行债券
209308,发行债券,302121,发行债券
130213,发行债券,302122,发行债券
242601,发行债券,302123,发行债券
244721,发行债券,302124,发行债券
244749,发行债券,302125,发行债券
141801,发行债券,302126,发行债券
199514,发行债券,302127,发行债券
166897,发行债券,302128,发行债券
240716,发行债券,302129,发行债券
24402,发行债券,302130,发行债券
244789,发行债券,302131,发行债券
80909,发行债券,302132,发行债券
148040,发行债券,302133,发行债券
111231,发行债券,302134,发行债券
80359,发行债券,302135,发行债券
138149,发行债券,302136,发行债券
24423,发行债券,302137,发行债券
139399,发行债券,302138,发行债券
243997,发行债券,302139,发行债券
210924,发行债券,302140,发行债券
216068,发行债券,302141,发行债券
164261,发行债券,302142,发行债券
15234,发行债券,302143,发行债券
245046,发行债券,302144,发行债券
244767,发行债券,302145,发行债券
180955,发行债券,302146,发行债券
185433,发行债券,302147,发行债券
42808,发行债券,302148,发行债券
70250,发行债券,302149,发行债券
145881,发行债券,302150,发行债券
244047,发行债券,302151,发行债券
202087,发行债券,302152,发行债券
100999,发行债券,302153,发行债券
44012,发行债券,302154,发行债券
243972,发行债券,302155,发行债券
239992,发行债券,302156,发行债券
124606,发行债券,302157,发行债券
72106,发行债券,302158,发行债券
92980,发行债券,302159,发行债券
76546,发行债券,302160,发行债券
101129,发行债券,302161,发行债券
26851,发行债券,302162,发行债券
149602,发行债券,302163,发行债券
215627,发行债券,302164,发行债券
244049,发行债券,302165,发行债券
203997,发行债券,302166,发行债券
110392,发行债券,302167,发行债券
155286,发行债券,302168,发行债券
244744,发行债券,302169,发行债券
130213,发行债券,302170,发行债券
129403,发行债券,302171,发行债券
243977,发行债券,302172,发行债券
69626,发行债券,302173,发行债券
66587,发行债券,302174,发行债券
244893,发行债券,302175,发行债券
241412,发行债券,302176,发行债券
243983,发行债券,302177,发行债券
88483,发行债券,302178,发行债券
25111,发行债券,302179,发行债券
233048,发行债券,302180,发行债券
