:START_ID,relationship,:END_ID,:TYPE
379848,保荐机构,244690,保荐机构
380695,保荐机构,244690,保荐机构
378302,保荐机构,245015,保荐机构
379859,保荐机构,245742,保荐机构
375997,保荐机构,245721,保荐机构
376465,保荐机构,244913,保荐机构
375979,保荐机构,244859,保荐机构
379044,保荐机构,244913,保荐机构
380677,保荐机构,245780,保荐机构
379057,保荐机构,244632,保荐机构
379179,保荐机构,244793,保荐机构
377574,保荐机构,245725,保荐机构
375866,保荐机构,244972,保荐机构
377102,保荐机构,244884,保荐机构
380141,保荐机构,245747,保荐机构
380491,保荐机构,245015,保荐机构
378408,保荐机构,244827,保荐机构
380240,保荐机构,245744,保荐机构
379702,保荐机构,245744,保荐机构
378389,保荐机构,244680,保荐机构
380253,保荐机构,245762,保荐机构
378478,保荐机构,245733,保荐机构
380350,保荐机构,244972,保荐机构
379360,保荐机构,244972,保荐机构
377192,保荐机构,245742,保荐机构
378491,保荐机构,244972,保荐机构
377121,保荐机构,244913,保荐机构
379366,保荐机构,245738,保荐机构
381157,保荐机构,245784,保荐机构
378673,保荐机构,244690,保荐机构
376280,保荐机构,244680,保荐机构
376786,保荐机构,244859,保荐机构
375767,保荐机构,245800,保荐机构
380385,保荐机构,244913,保荐机构
380417,保荐机构,245742,保荐机构
380073,保荐机构,245843,保荐机构
379481,保荐机构,244884,保荐机构
381189,保荐机构,244884,保荐机构
376319,保荐机构,245724,保荐机构
376458,保荐机构,245724,保荐机构
378033,保荐机构,244972,保荐机构
377827,保荐机构,245725,保荐机构
377819,保荐机构,245015,保荐机构
378310,保荐机构,245734,保荐机构
378217,保荐机构,245749,保荐机构
378705,保荐机构,244995,保荐机构
379680,保荐机构,244913,保荐机构
376697,保荐机构,245742,保荐机构
376787,保荐机构,244913,保荐机构
377924,保荐机构,245723,保荐机构
376134,保荐机构,245730,保荐机构
379495,保荐机构,245723,保荐机构
379919,保荐机构,244680,保荐机构
378288,保荐机构,245015,保荐机构
380202,保荐机构,244913,保荐机构
379084,保荐机构,244820,保荐机构
379899,保荐机构,245723,保荐机构
378710,保荐机构,244995,保荐机构
380944,保荐机构,244690,保荐机构
380682,保荐机构,244793,保荐机构
381314,保荐机构,245762,保荐机构
378238,保荐机构,244680,保荐机构
377106,保荐机构,245875,保荐机构
378668,保荐机构,244800,保荐机构
376802,保荐机构,244913,保荐机构
377184,保荐机构,245765,保荐机构
376829,保荐机构,245725,保荐机构
376930,保荐机构,244859,保荐机构
378349,保荐机构,244680,保荐机构
379791,保荐机构,244859,保荐机构
378878,保荐机构,244972,保荐机构
376954,保荐机构,245740,保荐机构
378050,保荐机构,245725,保荐机构
378164,保荐机构,245890,保荐机构
380227,保荐机构,244800,保荐机构
378053,保荐机构,245724,保荐机构
380652,保荐机构,244690,保荐机构
380919,保荐机构,245807,保荐机构
378996,保荐机构,245740,保荐机构
379722,保荐机构,245749,保荐机构
381215,保荐机构,244972,保荐机构
377844,保荐机构,244827,保荐机构
379625,保荐机构,245765,保荐机构
378960,保荐机构,244827,保荐机构
379758,保荐机构,245725,保荐机构
376207,保荐机构,244913,保荐机构
379938,保荐机构,244847,保荐机构
376085,保荐机构,244684,保荐机构
380266,保荐机构,244899,保荐机构
377897,保荐机构,244690,保荐机构
377659,保荐机构,244972,保荐机构
377787,保荐机构,245789,保荐机构
376688,保荐机构,244680,保荐机构
379002,保荐机构,245755,保荐机构
379010,保荐机构,245751,保荐机构
380525,保荐机构,244680,保荐机构
378347,保荐机构,244899,保荐机构
378657,保荐机构,245733,保荐机构
377753,保荐机构,244680,保荐机构
378042,保荐机构,244830,保荐机构
378736,保荐机构,244995,保荐机构
378067,保荐机构,245747,保荐机构
378162,保荐机构,244690,保荐机构
379485,保荐机构,245015,保荐机构
376899,保荐机构,245725,保荐机构
377638,保荐机构,245742,保荐机构
376121,保荐机构,244827,保荐机构
380201,保荐机构,244680,保荐机构
378356,保荐机构,244972,保荐机构
380804,保荐机构,245725,保荐机构
377038,保荐机构,244690,保荐机构
380164,保荐机构,244995,保荐机构
380973,保荐机构,244690,保荐机构
379992,保荐机构,244690,保荐机构
379693,保荐机构,245730,保荐机构
377031,保荐机构,245752,保荐机构
378153,保荐机构,244995,保荐机构
378455,保荐机构,244995,保荐机构
380092,保荐机构,244875,保荐机构
378484,保荐机构,244764,保荐机构
377764,保荐机构,244690,保荐机构
379538,保荐机构,245892,保荐机构
379292,保荐机构,244690,保荐机构
379423,保荐机构,245751,保荐机构
376588,保荐机构,244995,保荐机构
377066,保荐机构,244690,保荐机构
376221,保荐机构,245725,保荐机构
376185,保荐机构,244733,保荐机构
379504,保荐机构,244972,保荐机构
378319,保荐机构,244827,保荐机构
376406,保荐机构,244759,保荐机构
377765,保荐机构,244790,保荐机构
377925,保荐机构,245742,保荐机构
379794,保荐机构,244681,保荐机构
380159,保荐机构,245816,保荐机构
377356,保荐机构,239588,保荐机构
380117,保荐机构,245725,保荐机构
379632,保荐机构,244690,保荐机构
377854,保荐机构,244790,保荐机构
380657,保荐机构,245725,保荐机构
378076,保荐机构,245832,保荐机构
377393,保荐机构,244690,保荐机构
380177,保荐机构,244790,保荐机构
380609,保荐机构,244790,保荐机构
379005,保荐机构,245742,保荐机构
381286,保荐机构,245738,保荐机构
379208,保荐机构,245730,保荐机构
378871,保荐机构,245733,保荐机构
377162,保荐机构,245825,保荐机构
377429,保荐机构,244995,保荐机构
378838,保荐机构,245856,保荐机构
378623,保荐机构,245781,保荐机构
377759,保荐机构,244690,保荐机构
379721,保荐机构,245730,保荐机构
381315,保荐机构,244995,保荐机构
380604,保荐机构,245751,保荐机构
377798,保荐机构,245015,保荐机构
376205,保荐机构,245730,保荐机构
379147,保荐机构,245747,保荐机构
377896,保荐机构,244646,保荐机构
380702,保荐机构,245764,保荐机构
380575,保荐机构,244913,保荐机构
378494,保荐机构,244972,保荐机构
376570,保荐机构,244995,保荐机构
376287,保荐机构,245726,保荐机构
377499,保荐机构,244995,保荐机构
377771,保荐机构,245727,保荐机构
376346,保荐机构,244790,保荐机构
377154,保荐机构,245736,保荐机构
377653,保荐机构,244690,保荐机构
377784,保荐机构,245053,保荐机构
376901,保荐机构,244690,保荐机构
380521,保荐机构,245742,保荐机构
376605,保荐机构,244684,保荐机构
378048,保荐机构,244680,保荐机构
380464,保荐机构,244789,保荐机构
375729,保荐机构,245753,保荐机构
379361,保荐机构,244820,保荐机构
377727,保荐机构,245733,保荐机构
377904,保荐机构,245779,保荐机构
375848,保荐机构,245729,保荐机构
379810,保荐机构,244690,保荐机构
379080,保荐机构,245727,保荐机构
375630,保荐机构,245763,保荐机构
379347,保荐机构,245869,保荐机构
378944,保荐机构,244913,保荐机构
380019,保荐机构,245751,保荐机构
379832,保荐机构,244793,保荐机构
380595,保荐机构,244680,保荐机构
377733,保荐机构,245730,保荐机构
380830,保荐机构,245784,保荐机构
377834,保荐机构,244827,保荐机构
376353,保荐机构,244759,保荐机构
377668,保荐机构,245784,保荐机构
376734,保荐机构,245737,保荐机构
376596,保荐机构,244884,保荐机构
375734,保荐机构,244995,保荐机构
379457,保荐机构,244995,保荐机构
379974,保荐机构,244632,保荐机构
379778,保荐机构,245765,保荐机构
379876,保荐机构,245734,保荐机构
379155,保荐机构,244680,保荐机构
377136,保荐机构,245808,保荐机构
377113,保荐机构,244972,保荐机构
379032,保荐机构,245725,保荐机构
375731,保荐机构,244680,保荐机构
376511,保荐机构,245747,保荐机构
378205,保荐机构,245090,保荐机构
379597,保荐机构,244690,保荐机构
379140,保荐机构,245895,保荐机构
381218,保荐机构,245090,保荐机构
378980,保荐机构,245744,保荐机构
377808,保荐机构,244680,保荐机构
376548,保荐机构,244859,保荐机构
380562,保荐机构,245090,保荐机构
378113,保荐机构,245742,保荐机构
379280,保荐机构,245742,保荐机构
378303,保荐机构,244830,保荐机构
376475,保荐机构,245725,保荐机构
379559,保荐机构,244646,保荐机构
377273,保荐机构,244995,保荐机构
376980,保荐机构,245776,保荐机构
378556,保荐机构,245129,保荐机构
379912,保荐机构,245749,保荐机构
377734,保荐机构,245776,保荐机构
381031,保荐机构,242992,保荐机构
377476,保荐机构,244859,保荐机构
378447,保荐机构,245829,保荐机构
379395,保荐机构,244684,保荐机构
376365,保荐机构,244814,保荐机构
379221,保荐机构,244690,保荐机构
378385,保荐机构,244800,保荐机构
377506,保荐机构,244793,保荐机构
378553,保荐机构,245874,保荐机构
375998,保荐机构,245725,保荐机构
380758,保荐机构,244684,保荐机构
381154,保荐机构,244676,保荐机构
376441,保荐机构,244972,保荐机构
376444,保荐机构,244824,保荐机构
379020,保荐机构,245723,保荐机构
381127,保荐机构,245725,保荐机构
375970,保荐机构,245767,保荐机构
377214,保荐机构,244713,保荐机构
380777,保荐机构,244820,保荐机构
376639,保荐机构,244680,保荐机构
380066,保荐机构,244859,保荐机构
378187,保荐机构,245731,保荐机构
378353,保荐机构,244690,保荐机构
379104,保荐机构,244656,保荐机构
379078,保荐机构,244790,保荐机构
381139,保荐机构,244859,保荐机构
376932,保荐机构,245725,保荐机构
380373,保荐机构,245876,保荐机构
377000,保荐机构,244690,保荐机构
379372,保荐机构,244913,保荐机构
377284,保荐机构,244713,保荐机构
377749,保荐机构,245877,保荐机构
380662,保荐机构,244842,保荐机构
379056,保荐机构,244671,保荐机构
381085,保荐机构,245882,保荐机构
379287,保荐机构,244793,保荐机构
380501,保荐机构,244824,保荐机构
377157,保荐机构,245905,保荐机构
381209,保荐机构,245749,保荐机构
376839,保荐机构,244680,保荐机构
376934,保荐机构,244675,保荐机构
375786,保荐机构,244690,保荐机构
376748,保荐机构,244690,保荐机构
375824,保荐机构,244684,保荐机构
380573,保荐机构,244690,保荐机构
376907,保荐机构,244913,保荐机构
378286,保荐机构,244681,保荐机构
378060,保荐机构,245739,保荐机构
380579,保荐机构,244759,保荐机构
378027,保荐机构,245745,保荐机构
380840,保荐机构,244995,保荐机构
377248,保荐机构,245766,保荐机构
378879,保荐机构,244972,保荐机构
375794,保荐机构,245046,保荐机构
