:START_ID,relationship,:END_ID,:TYPE
379848,股票主承销商,244690,股票主承销商
376732,股票主承销商,245053,股票主承销商
378870,股票主承销商,244935,股票主承销商
378870,股票主承销商,245130,股票主承销商
380695,股票主承销商,244690,股票主承销商
378302,股票主承销商,245015,股票主承销商
379152,股票主承销商,244997,股票主承销商
379152,股票主承销商,244974,股票主承销商
379152,股票主承销商,244933,股票主承销商
379152,股票主承销商,244954,股票主承销商
379152,股票主承销商,245012,股票主承销商
379152,股票主承销商,245176,股票主承销商
379152,股票主承销商,245073,股票主承销商
379152,股票主承销商,244917,股票主承销商
379152,股票主承销商,245126,股票主承销商
379152,股票主承销商,245192,股票主承销商
378433,股票主承销商,244971,股票主承销商
379859,股票主承销商,245742,股票主承销商
375997,股票主承销商,245237,股票主承销商
375787,股票主承销商,245812,股票主承销商
378084,股票主承销商,244979,股票主承销商
378084,股票主承销商,244952,股票主承销商
378084,股票主承销商,244981,股票主承销商
378084,股票主承销商,245130,股票主承销商
376465,股票主承销商,244913,股票主承销商
375979,股票主承销商,244859,股票主承销商
380556,股票主承销商,245073,股票主承销商
380556,股票主承销商,245148,股票主承销商
380556,股票主承销商,245142,股票主承销商
380556,股票主承销商,245192,股票主承销商
380498,股票主承销商,245223,股票主承销商
380498,股票主承销商,244952,股票主承销商
380498,股票主承销商,245198,股票主承销商
380498,股票主承销商,244979,股票主承销商
380498,股票主承销商,245139,股票主承销商
380498,股票主承销商,244981,股票主承销商
380498,股票主承销商,245018,股票主承销商
380498,股票主承销商,245104,股票主承销商
379044,股票主承销商,245724,股票主承销商
380677,股票主承销商,245725,股票主承销商
379057,股票主承销商,244632,股票主承销商
379179,股票主承销商,244793,股票主承销商
377574,股票主承销商,245725,股票主承销商
375866,股票主承销商,244972,股票主承销商
379826,股票主承销商,244859,股票主承销商
377102,股票主承销商,244884,股票主承销商
377570,股票主承销商,245223,股票主承销商
377570,股票主承销商,244952,股票主承销商
377570,股票主承销商,245014,股票主承销商
377570,股票主承销商,245192,股票主承销商
380293,股票主承销商,244690,股票主承销商
380298,股票主承销商,245322,股票主承销商
378884,股票主承销商,245322,股票主承销商
380627,股票主承销商,245241,股票主承销商
380141,股票主承销商,245747,股票主承销商
380491,股票主承销商,245015,股票主承销商
379986,股票主承销商,245241,股票主承销商
378408,股票主承销商,244827,股票主承销商
378063,股票主承销商,245223,股票主承销商
378063,股票主承销商,244952,股票主承销商
378063,股票主承销商,244954,股票主承销商
378063,股票主承销商,245198,股票主承销商
378063,股票主承销商,244981,股票主承销商
378063,股票主承销商,245190,股票主承销商
378063,股票主承销商,245064,股票主承销商
378063,股票主承销商,245192,股票主承销商
380240,股票主承销商,245241,股票主承销商
379702,股票主承销商,245241,股票主承销商
379346,股票主承销商,245237,股票主承销商
378389,股票主承销商,244680,股票主承销商
379435,股票主承销商,244952,股票主承销商
379435,股票主承销商,245028,股票主承销商
379435,股票主承销商,245073,股票主承销商
379435,股票主承销商,245032,股票主承销商
379435,股票主承销商,245160,股票主承销商
379435,股票主承销商,245192,股票主承销商
377518,股票主承销商,244979,股票主承销商
377518,股票主承销商,245162,股票主承销商
377518,股票主承销商,244952,股票主承销商
380203,股票主承销商,239571,股票主承销商
380253,股票主承销商,245725,股票主承销商
378478,股票主承销商,245197,股票主承销商
380350,股票主承销商,244972,股票主承销商
379360,股票主承销商,244972,股票主承销商
376830,股票主承销商,244997,股票主承销商
376830,股票主承销商,245154,股票主承销商
376830,股票主承销商,245073,股票主承销商
376830,股票主承销商,244917,股票主承销商
376830,股票主承销商,245160,股票主承销商
376830,股票主承销商,245008,股票主承销商
376830,股票主承销商,245012,股票主承销商
376830,股票主承销商,245014,股票主承销商
376830,股票主承销商,245104,股票主承销商
376830,股票主承销商,245190,股票主承销商
376830,股票主承销商,245191,股票主承销商
376830,股票主承销商,245025,股票主承销商
376830,股票主承销商,244952,股票主承销商
376830,股票主承销商,244954,股票主承销商
376830,股票主承销商,245126,股票主承销商
376830,股票主承销商,245038,股票主承销商
376830,股票主承销商,245042,股票主承销商
376830,股票主承销商,245223,股票主承销商
376830,股票主承销商,244974,股票主承销商
376830,股票主承销商,244979,股票主承销商
376830,股票主承销商,244981,股票主承销商
376830,股票主承销商,245142,股票主承销商
376830,股票主承销商,245062,股票主承销商
376830,股票主承销商,245150,股票主承销商
377388,股票主承销商,244935,股票主承销商
377388,股票主承销商,245006,股票主承销商
377388,股票主承销商,245160,股票主承销商
377192,股票主承销商,245742,股票主承销商
378491,股票主承销商,244972,股票主承销商
377121,股票主承销商,244913,股票主承销商
379366,股票主承销商,245322,股票主承销商
381157,股票主承销商,244884,股票主承销商
381202,股票主承销商,244952,股票主承销商
381202,股票主承销商,244954,股票主承销商
381202,股票主承销商,244917,股票主承销商
381202,股票主承销商,245160,股票主承销商
381202,股票主承销商,244944,股票主承销商
381202,股票主承销商,245148,股票主承销商
381202,股票主承销商,245192,股票主承销商
378673,股票主承销商,244690,股票主承销商
378798,股票主承销商,244913,股票主承销商
378698,股票主承销商,245137,股票主承销商
377601,股票主承销商,245137,股票主承销商
380951,股票主承销商,245073,股票主承销商
380951,股票主承销商,244954,股票主承销商
380951,股票主承销商,245006,股票主承销商
380951,股票主承销商,245048,股票主承销商
376280,股票主承销商,244913,股票主承销商
376786,股票主承销商,244632,股票主承销商
380866,股票主承销商,244997,股票主承销商
380866,股票主承销商,244974,股票主承销商
380866,股票主承销商,244917,股票主承销商
380866,股票主承销商,244940,股票主承销商
380866,股票主承销商,245038,股票主承销商
380866,股票主承销商,245042,股票主承销商
375767,股票主承销商,245800,股票主承销商
380385,股票主承销商,245322,股票主承销商
380417,股票主承销商,245742,股票主承销商
380147,股票主承销商,245322,股票主承销商
380073,股票主承销商,244824,股票主承销商
379481,股票主承销商,245270,股票主承销商
378418,股票主承销商,239149,股票主承销商
379853,股票主承销商,244997,股票主承销商
379853,股票主承销商,244944,股票主承销商
379529,股票主承销商,239149,股票主承销商
381189,股票主承销商,244884,股票主承销商
376319,股票主承销商,239571,股票主承销商
376458,股票主承销商,239571,股票主承销商
380254,股票主承销商,245275,股票主承销商
378033,股票主承销商,244972,股票主承销商
377827,股票主承销商,245725,股票主承销商
380430,股票主承销商,245150,股票主承销商
380430,股票主承销商,244974,股票主承销商
380430,股票主承销商,245012,股票主承销商
380430,股票主承销商,244934,股票主承销商
380430,股票主承销商,244917,股票主承销商
380430,股票主承销商,244947,股票主承销商
380430,股票主承销商,244979,股票主承销商
380430,股票主承销商,244981,股票主承销商
380430,股票主承销商,245008,股票主承销商
380430,股票主承销商,244945,股票主承销商
380430,股票主承销商,245042,股票主承销商
377819,股票主承销商,244913,股票主承销商
378310,股票主承销商,244780,股票主承销商
378217,股票主承销商,245274,股票主承销商
378705,股票主承销商,244995,股票主承销商
379680,股票主承销商,244913,股票主承销商
378906,股票主承销商,245322,股票主承销商
377054,股票主承销商,245319,股票主承销商
376697,股票主承销商,245742,股票主承销商
376787,股票主承销商,244913,股票主承销商
377924,股票主承销商,245725,股票主承销商
376134,股票主承销商,245730,股票主承销商
379495,股票主承销商,245723,股票主承销商
379919,股票主承销商,244680,股票主承销商
378288,股票主承销商,245015,股票主承销商
380202,股票主承销商,244913,股票主承销商
379084,股票主承销商,244820,股票主承销商
379899,股票主承销商,245270,股票主承销商
378710,股票主承销商,244995,股票主承销商
380078,股票主承销商,245353,股票主承销商
379164,股票主承销商,239571,股票主承销商
380944,股票主承销商,244690,股票主承销商
378647,股票主承销商,245298,股票主承销商
380682,股票主承销商,244793,股票主承销商
381314,股票主承销商,245725,股票主承销商
378238,股票主承销商,244680,股票主承销商
376788,股票主承销商,244690,股票主承销商
377106,股票主承销商,245776,股票主承销商
378668,股票主承销商,244800,股票主承销商
376802,股票主承销商,244913,股票主承销商
377184,股票主承销商,245765,股票主承销商
376468,股票主承销商,245733,股票主承销商
376829,股票主承销商,245319,股票主承销商
376930,股票主承销商,244859,股票主承销商
380291,股票主承销商,239571,股票主承销商
378349,股票主承销商,244680,股票主承销商
379791,股票主承销商,244632,股票主承销商
378878,股票主承销商,244972,股票主承销商
376954,股票主承销商,245740,股票主承销商
380204,股票主承销商,245298,股票主承销商
377324,股票主承销商,245333,股票主承销商
378050,股票主承销商,245725,股票主承销商
378164,股票主承销商,245724,股票主承销商
378194,股票主承销商,245769,股票主承销商
380227,股票主承销商,244800,股票主承销商
380901,股票主承销商,245751,股票主承销商
378053,股票主承销商,245724,股票主承销商
380652,股票主承销商,238031,股票主承销商
380919,股票主承销商,244913,股票主承销商
376086,股票主承销商,245322,股票主承销商
376278,股票主承销商,244995,股票主承销商
377916,股票主承销商,245399,股票主承销商
378996,股票主承销商,245740,股票主承销商
379722,股票主承销商,245749,股票主承销商
375881,股票主承销商,245812,股票主承销商
381215,股票主承销商,244972,股票主承销商
377844,股票主承销商,244827,股票主承销商
379625,股票主承销商,245765,股票主承销商
