:START_ID,relationship,:END_ID,:TYPE
302024,债券主承销商,244739,债券主承销商
302049,债券主承销商,244972,债券主承销商
302050,债券主承销商,244712,债券主承销商
302051,债券主承销商,244678,债券主承销商
302054,债券主承销商,244677,债券主承销商
302055,债券主承销商,244746,债券主承销商
302055,债券主承销商,244643,债券主承销商
302065,债券主承销商,244712,债券主承销商
302065,债券主承销商,244797,债券主承销商
302067,债券主承销商,244746,债券主承销商
302073,债券主承销商,244711,债券主承销商
302073,债券主承销商,244737,债券主承销商
302074,债券主承销商,244712,债券主承销商
302074,债券主承销商,244746,债券主承销商
302075,债券主承销商,244913,债券主承销商
302076,债券主承销商,245129,债券主承销商
302076,债券主承销商,244649,债券主承销商
302076,债券主承销商,244759,债券主承销商
302076,债券主承销商,244995,债券主承销商
302076,债券主承销商,245849,债券主承销商
302077,债券主承销商,245129,债券主承销商
302077,债券主承销商,244649,债券主承销商
302077,债券主承销商,244759,债券主承销商
302077,债券主承销商,244995,债券主承销商
302077,债券主承销商,245849,债券主承销商
302079,债券主承销商,244708,债券主承销商
302080,债券主承销商,244712,债券主承销商
302083,债券主承销商,244680,债券主承销商
302083,债券主承销商,244746,债券主承销商
302084,债券主承销商,245053,债券主承销商
302086,债券主承销商,244896,债券主承销商
302086,债券主承销商,244678,债券主承销商
302088,债券主承销商,244678,债券主承销商
302089,债券主承销商,244711,债券主承销商
302089,债券主承销商,244741,债券主承销商
302090,债券主承销商,244741,债券主承销商
302093,债券主承销商,244724,债券主承销商
302094,债券主承销商,244759,债券主承销商
302095,债券主承销商,244835,债券主承销商
302095,债券主承销商,244746,债券主承销商
302097,债券主承销商,244746,债券主承销商
302100,债券主承销商,245046,债券主承销商
302102,债券主承销商,244662,债券主承销商
302102,债券主承销商,244712,债券主承销商
302103,债券主承销商,244711,债券主承销商
302105,债券主承销商,244712,债券主承销商
302105,债券主承销商,244741,债券主承销商
302106,债券主承销商,244702,债券主承销商
302106,债券主承销商,244737,债券主承销商
302108,债券主承销商,244678,债券主承销商
302109,债券主承销商,244891,债券主承销商
302110,债券主承销商,244868,债券主承销商
302111,债券主承销商,245053,债券主承销商
302111,债券主承销商,244884,债券主承销商
302112,债券主承销商,244792,债券主承销商
302113,债券主承销商,244995,债券主承销商
302113,债券主承销商,245015,债券主承销商
331399,债券主承销商,245015,债券主承销商
302116,债券主承销商,245015,债券主承销商
302117,债券主承销商,245015,债券主承销商
302118,债券主承销商,245053,债券主承销商
302120,债券主承销商,244746,债券主承销商
302121,债券主承销商,244869,债券主承销商
302122,债券主承销商,244712,债券主承销商
302127,债券主承销商,160835,债券主承销商
302128,债券主承销商,244757,债券主承销商
302131,债券主承销商,244789,债券主承销商
302131,债券主承销商,244913,债券主承销商
302132,债券主承销商,244835,债券主承销商
302133,债券主承销商,244859,债券主承销商
302134,债券主承销商,244690,债券主承销商
302135,债券主承销商,244741,债券主承销商
302136,债券主承销商,244894,债券主承销商
302137,债券主承销商,244849,债券主承销商
302138,债券主承销商,244741,债券主承销商
302138,债券主承销商,244913,债券主承销商
302143,债券主承销商,244746,债券主承销商
302143,债券主承销商,244898,债券主承销商
302146,债券主承销商,244638,债券主承销商
302147,债券主承销商,244995,债券主承销商
302147,债券主承销商,244737,债券主承销商
302148,债券主承销商,244746,债券主承销商
302150,债券主承销商,244780,债券主承销商
