:START_ID,relationship,:END_ID,:TYPE
165094,发行股票,379962,发行股票
113685,发行股票,379848,发行股票
165990,发行股票,378300,发行股票
184508,发行股票,376732,发行股票
43952,发行股票,377626,发行股票
95150,发行股票,377870,发行股票
158833,发行股票,378466,发行股票
158833,发行股票,378870,发行股票
161262,发行股票,380695,发行股票
152205,发行股票,378302,发行股票
152205,发行股票,379152,发行股票
64797,发行股票,378433,发行股票
22220,发行股票,379859,发行股票
76931,发行股票,377550,发行股票
180918,发行股票,375997,发行股票
186444,发行股票,375787,发行股票
229659,发行股票,381059,发行股票
234175,发行股票,380655,发行股票
237939,发行股票,378021,发行股票
237939,发行股票,378084,发行股票
109084,发行股票,378214,发行股票
163491,发行股票,378894,发行股票
225618,发行股票,378538,发行股票
198827,发行股票,376465,发行股票
60378,发行股票,375979,发行股票
24811,发行股票,380623,发行股票
24811,发行股票,380556,发行股票
234676,发行股票,377618,发行股票
234676,发行股票,379861,发行股票
158245,发行股票,376531,发行股票
198307,发行股票,381248,发行股票
198307,发行股票,380498,发行股票
6928,发行股票,380776,发行股票
173,发行股票,379044,发行股票
98533,发行股票,376402,发行股票
51817,发行股票,380677,发行股票
22075,发行股票,379057,发行股票
222998,发行股票,376408,发行股票
192346,发行股票,380413,发行股票
80492,发行股票,379179,发行股票
205397,发行股票,377574,发行股票
26849,发行股票,380047,发行股票
22328,发行股票,379446,发行股票
245015,发行股票,379785,发行股票
112756,发行股票,375866,发行股票
227224,发行股票,379826,发行股票
223013,发行股票,378803,发行股票
214528,发行股票,376362,发行股票
193550,发行股票,380719,发行股票
43083,发行股票,377299,发行股票
102141,发行股票,377102,发行股票
235055,发行股票,379677,发行股票
237891,发行股票,379393,发行股票
237891,发行股票,377570,发行股票
29028,发行股票,380293,发行股票
201663,发行股票,377728,发行股票
162951,发行股票,380169,发行股票
201653,发行股票,380298,发行股票
104475,发行股票,379391,发行股票
108749,发行股票,378884,发行股票
106378,发行股票,380390,发行股票
71624,发行股票,381273,发行股票
35948,发行股票,380627,发行股票
142466,发行股票,380607,发行股票
64860,发行股票,380141,发行股票
105214,发行股票,380614,发行股票
64411,发行股票,380786,发行股票
152268,发行股票,376142,发行股票
152268,发行股票,380247,发行股票
236692,发行股票,377139,发行股票
106185,发行股票,377708,发行股票
149937,发行股票,380675,发行股票
196497,发行股票,380491,发行股票
46273,发行股票,379986,发行股票
37196,发行股票,378903,发行股票
38573,发行股票,375669,发行股票
101259,发行股票,378408,发行股票
25604,发行股票,377212,发行股票
240952,发行股票,378411,发行股票
240952,发行股票,378063,发行股票
62479,发行股票,379285,发行股票
33841,发行股票,376882,发行股票
38469,发行股票,380240,发行股票
195466,发行股票,379346,发行股票
214805,发行股票,376777,发行股票
21639,发行股票,377099,发行股票
131203,发行股票,378389,发行股票
131203,发行股票,379435,发行股票
186924,发行股票,378139,发行股票
244637,发行股票,381257,发行股票
244637,发行股票,377518,发行股票
22037,发行股票,380203,发行股票
22037,发行股票,377319,发行股票
73652,发行股票,380253,发行股票
102261,发行股票,378530,发行股票
168825,发行股票,378103,发行股票
450,发行股票,378478,发行股票
189802,发行股票,378528,发行股票
25909,发行股票,380533,发行股票
100827,发行股票,377704,发行股票
87280,发行股票,377152,发行股票
244690,发行股票,380350,发行股票
76160,发行股票,375961,发行股票
121499,发行股票,377110,发行股票
143872,发行股票,379360,发行股票
163019,发行股票,377183,发行股票
244780,发行股票,379626,发行股票
244780,发行股票,376830,发行股票
37840,发行股票,379601,发行股票
244835,发行股票,380906,发行股票
244835,发行股票,377388,发行股票
223267,发行股票,377192,发行股票
232302,发行股票,378491,发行股票
38364,发行股票,377292,发行股票
153754,发行股票,377121,发行股票
147096,发行股票,378637,发行股票
14573,发行股票,380255,发行股票
81899,发行股票,378558,发行股票
113647,发行股票,379366,发行股票
107698,发行股票,377060,发行股票
149351,发行股票,380494,发行股票
126202,发行股票,381157,发行股票
183945,发行股票,376855,发行股票
98492,发行股票,378245,发行股票
98099,发行股票,381232,发行股票
76433,发行股票,380774,发行股票
123064,发行股票,381292,发行股票
244878,发行股票,379561,发行股票
244878,发行股票,381202,发行股票
160262,发行股票,378673,发行股票
69760,发行股票,379543,发行股票
69927,发行股票,377939,发行股票
24180,发行股票,378798,发行股票
163880,发行股票,378698,发行股票
220628,发行股票,377705,发行股票
26701,发行股票,379030,发行股票
6144,发行股票,376995,发行股票
237682,发行股票,377489,发行股票
237682,发行股票,380951,发行股票
27646,发行股票,376280,发行股票
18609,发行股票,378312,发行股票
149603,发行股票,376786,发行股票
664,发行股票,380685,发行股票
188480,发行股票,380874,发行股票
223349,发行股票,375767,发行股票
29681,发行股票,380385,发行股票
166054,发行股票,380417,发行股票
106634,发行股票,380147,发行股票
108835,发行股票,377071,发行股票
3038,发行股票,377103,发行股票
241398,发行股票,380073,发行股票
25414,发行股票,378462,发行股票
74890,发行股票,379481,发行股票
39998,发行股票,376604,发行股票
62599,发行股票,379999,发行股票
105143,发行股票,378418,发行股票
105143,发行股票,379853,发行股票
105143,发行股票,379529,发行股票
45829,发行股票,381189,发行股票
112881,发行股票,376319,发行股票
163582,发行股票,380254,发行股票
244685,发行股票,379777,发行股票
40680,发行股票,378621,发行股票
26569,发行股票,378456,发行股票
160323,发行股票,381007,发行股票
39888,发行股票,378033,发行股票
187699,发行股票,377827,发行股票
19582,发行股票,381115,发行股票
244847,发行股票,380635,发行股票
244847,发行股票,380430,发行股票
36701,发行股票,377819,发行股票
416,发行股票,380551,发行股票
143144,发行股票,378310,发行股票
100208,发行股票,378217,发行股票
228229,发行股票,378705,发行股票
50464,发行股票,379680,发行股票
198132,发行股票,378906,发行股票
202227,发行股票,377054,发行股票
163240,发行股票,376697,发行股票
112609,发行股票,376192,发行股票
1091,发行股票,376787,发行股票
131938,发行股票,375800,发行股票
17142,发行股票,375791,发行股票
106508,发行股票,377924,发行股票
49037,发行股票,376134,发行股票
148649,发行股票,379495,发行股票
36834,发行股票,380572,发行股票
16150,发行股票,379919,发行股票
201608,发行股票,380894,发行股票
210046,发行股票,377994,发行股票
104738,发行股票,378288,发行股票
244759,发行股票,376132,发行股票
244759,发行股票,375921,发行股票
48494,发行股票,376821,发行股票
244837,发行股票,380202,发行股票
32017,发行股票,379084,发行股票
221640,发行股票,380994,发行股票
197917,发行股票,377524,发行股票
74569,发行股票,378613,发行股票
37778,发行股票,379899,发行股票
206878,发行股票,377098,发行股票
224122,发行股票,377516,发行股票
244816,发行股票,376538,发行股票
44386,发行股票,381272,发行股票
58303,发行股票,375931,发行股票
66893,发行股票,378710,发行股票
