totalId:ID,name,:LABEL
264574,10.00亿元,总授信额度
264575,832.70亿元,总授信额度
264576,0.45亿元,总授信额度
264577,0.30亿元,总授信额度
264578,0.85亿元,总授信额度
264579,0.41亿元,总授信额度
264580,0.10亿元,总授信额度
264581,2.11亿元,总授信额度
264582,22.57亿元,总授信额度
264583,32.28亿元,总授信额度
264584,0.50亿元,总授信额度
264585,110.82亿元,总授信额度
264586,94.70亿元,总授信额度
264587,11.70亿元,总授信额度
264588,1.50亿元,总授信额度
264589,49.63亿元,总授信额度
264590,22.00亿元,总授信额度
264591,575.39亿元,总授信额度
264592,277.73亿元,总授信额度
264593,257.50亿元,总授信额度
264594,207.27亿元,总授信额度
264595,150.03亿元,总授信额度
264596,146.50亿元,总授信额度
264597,75.10亿元,总授信额度
264598,65.00亿元,总授信额度
264599,40.00亿元,总授信额度
264600,34.00亿元,总授信额度
264601,33.96亿元,总授信额度
264602,30.00亿元,总授信额度
264603,30.00亿元,总授信额度
264604,21.50亿元,总授信额度
264605,19.00亿元,总授信额度
264606,17.00亿元,总授信额度
264607,15.00亿元,总授信额度
264608,13.00亿元,总授信额度
264609,10.00亿元,总授信额度
264610,10.00亿元,总授信额度
264611,8.00亿元,总授信额度
264612,5.30亿元,总授信额度
264613,2041.28亿元,总授信额度
264614,6.00亿元,总授信额度
264615,5.40亿元,总授信额度
264616,7.00亿元,总授信额度
264617,1.00亿元,总授信额度
264618,8.00亿元,总授信额度
264619,5.00亿元,总授信额度
264620,8.00亿元,总授信额度
264621,25.00亿元,总授信额度
264622,4.00亿元,总授信额度
264623,4.00亿元,总授信额度
264624,2.00亿元,总授信额度
264625,1.00亿元,总授信额度
264626,0.27亿元,总授信额度
264627,1.00亿元,总授信额度
264628,16.00亿元,总授信额度
264629,44.30亿元,总授信额度
264630,26.00亿元,总授信额度
264631,23.50亿元,总授信额度
264632,16.50亿元,总授信额度
264633,0.15亿元,总授信额度
264634,0.14亿元,总授信额度
264635,6.70亿元,总授信额度
264636,2.50亿元,总授信额度
264637,3.00亿元,总授信额度
264638,2.50亿元,总授信额度
264639,1.00亿元,总授信额度
264640,10.00亿元,总授信额度
264641,3.00亿元,总授信额度
264642,2.50亿元,总授信额度
264643,2.20亿元,总授信额度
264644,380.37亿元,总授信额度
264645,3.00亿元,总授信额度
264646,128.65亿元,总授信额度
264647,30.08亿元,总授信额度
264648,17.90亿元,总授信额度
264649,16.66亿元,总授信额度
264650,9.30亿元,总授信额度
264651,3.00亿元,总授信额度
264652,0.50亿元,总授信额度
264653,4.00亿元,总授信额度
264654,0.80亿元,总授信额度
264655,1.92亿元,总授信额度
264656,3.00亿元,总授信额度
264657,0.40亿元,总授信额度
264658,5.02亿元,总授信额度
264659,2.50亿元,总授信额度
264660,9.50亿元,总授信额度
264661,3.30亿元,总授信额度
264662,16.99亿元,总授信额度
264663,2.50亿元,总授信额度
264664,127.37亿元,总授信额度
264665,746.51亿元,总授信额度
264666,80.28亿元,总授信额度
264667,8.00亿元,总授信额度
264668,2.30亿元,总授信额度
264669,0.30亿元,总授信额度
264670,10.00亿元,总授信额度
264671,7.00亿元,总授信额度
264672,12.64亿元,总授信额度
264673,8.00亿元,总授信额度
264674,1.50亿元,总授信额度
264675,1.18亿元,总授信额度
264676,3.43亿元,总授信额度
264677,2.70亿元,总授信额度
264678,2.10亿元,总授信额度
264679,11.20亿元,总授信额度
264680,2.00亿元,总授信额度
264681,5.00亿元,总授信额度
264682,0.84亿元,总授信额度
264683,2.00亿元,总授信额度
264684,6.00亿元,总授信额度
264685,18.00亿元,总授信额度
264686,104.18亿元,总授信额度
264687,5.00亿元,总授信额度
264688,0.30亿元,总授信额度
264689,14.05亿元,总授信额度
264690,2051.56亿元,总授信额度
264691,44.70亿元,总授信额度
